Title+Author+Date
A Wrinkle in Time+L'Engle, Madeleine+1962
Abhorsen Trilogy+Nix, Garth+1995
Anathem+Stephenson, Neal+2008
Artemis Fowl series+Colfer, Eoin+2001
Book of Three+Alexander, Lloyd+1964
City at the End of Time+Bear, Greg+2008
Earthsea Trilogy+LeGuin, Ursula+1968
Ender's Game+Card, Orson Scott+1985
Harry Potter series+Rowlings, JK+1997
Keys to the Kingdom+Nix, Garth+2003
Lord of the Rings+Tolkien, J.R.R.+1954
Myst: The Book of Atrius+Miller, Rand & Robyn+1995
Ombria In Shadow+Patricia A. McKillip+2002
Stardust+Gaiman, Neil+1998
Tamsin+Beagle, Peter+1999
Tea With The Black Dragon+Macavoy, R. A.+1983
The Hobbit+Tolkien, J.R.R.+1937
The Last Unicorn+Beagle, Peter+1968
The Princess Bride+Goldman, William+1973
The Knight &The Wizard+Wolfe, Gene+2004
